,Sheetname,Date,Procedure,Test,Jar,Floc,Floc_Dosage (ppm),Coag,Coag_Dosage (ppm),Coagulant:Flocculant,Turbs,RANK,MAX,MIN,RANGE,Comment,Trub % decrease
44,March 2022(D),2022-03-23,,March 2022(D)_8,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,221.0,6,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
45,March 2022(D),2022-03-23,,March 2022(D)_8,2,8181,2.0,2537A,10.0,10 ppm:2537A   2 ppm:8181,174.0,5,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
46,March 2022(D),2022-03-23,,March 2022(D)_8,3,8181,2.0,2537A,20.0,20 ppm:2537A   2 ppm:8181,147.0,3,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
47,March 2022(D),2022-03-23,,March 2022(D)_8,4,8181,2.0,2537A,30.0,30 ppm:2537A   2 ppm:8181,148.0,4,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
48,March 2022(D),2022-03-23,,March 2022(D)_8,5,8181,2.0,2537A,40.0,40 ppm:2537A   2 ppm:8181,126.0,2,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
49,March 2022(D),2022-03-23,,March 2022(D)_8,6,8181,2.0,2537A,50.0,50 ppm:2537A   2 ppm:8181,45.0,1,221.0,45.0,176.0,no obvious difference in size with increase in coag or amount of FW.  Reverse trend with settling rate…its slower as coag increases.  FLOC controls bed & particle size.,
50,March 2022(D),2022-03-23,,March 2022(D)_9,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,196.0,4,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
51,March 2022(D),2022-03-23,,March 2022(D)_9,2,8181,2.0,2537A,25.0,25 ppm:2537A   2 ppm:8181,179.0,2,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
52,March 2022(D),2022-03-23,,March 2022(D)_9,3,8181,2.0,2490,25.0,25 ppm:2490   2 ppm:8181,127.0,1,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
53,March 2022(D),2022-03-23,,March 2022(D)_9,4,8181,2.0,8190,25.0,25 ppm:8190   2 ppm:8181,321.0,6,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
54,March 2022(D),2022-03-23,,March 2022(D)_9,5,8181,2.0,1580,25.0,25 ppm:1580   2 ppm:8181,194.0,3,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
55,March 2022(D),2022-03-23,,March 2022(D)_9,6,8181,2.0,8105,25.0,25 ppm:8105   2 ppm:8181,261.0,5,321.0,127.0,194.0,J4&J5 does look slightly better than the other jars during the stir period. J5>J6>J1>J3>j2 IN ORDER OF FASTEST SETTLING RATES.  Note- MgO collected from phase G since it was plugged in phase E.  Phase G uses PW in the slurry whereas Phase E uses soften brackish,
56,March 2022(D),2022-03-23,,March 2022(D)_10,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,295.0,6,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
57,March 2022(D),2022-03-23,,March 2022(D)_10,2,61610,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:61610,161.0,5,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
58,March 2022(D),2022-03-23,,March 2022(D)_10,3,61610,1.0,2537A,20.0,20 ppm:2537A   1 ppm:61610,98.7,4,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
59,March 2022(D),2022-03-23,,March 2022(D)_10,4,61610,1.5,2537A,20.0,20 ppm:2537A   1.5 ppm:61610,89.2,3,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
60,March 2022(D),2022-03-23,,March 2022(D)_10,5,61610,2.0,2537A,20.0,20 ppm:2537A   2 ppm:61610,24.5,1,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
61,March 2022(D),2022-03-23,,March 2022(D)_10,6,61610,2.5,2537A,20.0,20 ppm:2537A   2.5 ppm:61610,28.1,2,295.0,24.5,270.5,"same MgO issue as Exp 9. really nice trend in size & FW with the increase…visible sludge line at 21 s for J6 & J5, ~ 23s for J4, 26s for J3 & 35s for J2.  So good settling response with more floc.",
62,March 2022(D),2022-03-23,,March 2022(D)_12,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,286.0,6,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
63,March 2022(D),2022-03-23,,March 2022(D)_12,2,61610,2.0,2537A,10.0,10 ppm:2537A   2 ppm:61610,78.2,5,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
64,March 2022(D),2022-03-23,,March 2022(D)_12,3,61610,2.0,2537A,20.0,20 ppm:2537A   2 ppm:61610,51.7,4,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
65,March 2022(D),2022-03-23,,March 2022(D)_12,4,61610,2.0,2537A,30.0,30 ppm:2537A   2 ppm:61610,36.9,2,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
66,March 2022(D),2022-03-23,,March 2022(D)_12,5,61610,2.0,2537A,40.0,40 ppm:2537A   2 ppm:61610,34.3,1,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
67,March 2022(D),2022-03-23,,March 2022(D)_12,6,61610,2.0,2537A,50.0,50 ppm:2537A   2 ppm:61610,41.2,3,286.0,34.3,251.7,"no change in size, but the FW was higher in J1 vs J6, in that order.  settling rates were all comparable.",
2,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,238.0,5,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
3,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,2,8181,1.0,2537A,25.0,25 ppm:2537A   1 ppm:8181,249.0,6,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
4,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,3,8181,1.5,2537A,25.0,25 ppm:2537A   1.5 ppm:8181,165.0,4,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
5,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,4,8181,1.75,2537A,25.0,25 ppm:2537A   1.75 ppm:8181,133.0,3,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
6,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,5,8181,2.0,2537A,25.0,25 ppm:2537A   2 ppm:8181,113.0,2,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
7,May 2022 Phase G(D),,,May 2022 Phase G(D)_1,6,8181,3.0,2537A,25.0,25 ppm:2537A   3 ppm:8181,73.7,1,249.0,73.7,175.3,there was a nice increase in floc size with increasing floc.  Lots of FW in all jars. There was a steady increase in settling rates,
8,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,1,blank,0.0,2537A,0.0,0 ppm:   0 ppm:blank,307.0,6,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
9,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,2,8181,1.0,2537A,0.0,0 ppm:2537A   1 ppm:8181,236.0,5,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
10,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,3,8181,2.0,2537A,0.0,0 ppm:2537A   2 ppm:8181,186.0,3,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
11,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,4,7767,1.0,2537A,25.0,25 ppm:2537A   1 ppm:7767,48.7,1,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
12,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,5,7878,1.0,2537A,25.0,25 ppm:2537A   1 ppm:7878,84.2,2,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
13,May 2022 Phase G(D),,,May 2022 Phase G(D)_2,6,7757,1.0,2537A,25.0,25 ppm:2537A   1 ppm:7757,191.0,4,307.0,48.7,258.3,"j2, 2 & 4 showed decent floc size with J4 having the largest.  J6 was very fine and J5 was small.  During the slow stir there was FW in J3,4&5.  settling rates in this order J4>J3>J2>J5>J6.",
14,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,355.0,6,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
15,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,2,8181,1.0,2537A,10.0,10 ppm:2537A   1 ppm:8181,247.0,3,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
16,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,3,8181,1.0,2490,10.0,10 ppm:2490   1 ppm:8181,206.0,1,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
17,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,4,8181,1.0,8105,10.0,10 ppm:8105   1 ppm:8181,259.0,5,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
18,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,5,8181,1.0,8105:2537A,10.0,10 ppm:8105:2537A   1 ppm:8181,258.0,4,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
19,May 2022 Phase G(D),,,May 2022 Phase G(D)_3,6,8181,1.0,1580,10.0,10 ppm:1580   1 ppm:8181,235.0,2,355.0,206.0,149.0,better particle size than with 7757 and some FW in all jars.  Slow settling rate…J4>J5>J6>J3>J2>J1,
20,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,346.0,6,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
21,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,2,7767,1.0,2537A,10.0,10 ppm:2537A   1 ppm:7767,133.0,5,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
22,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,3,7767,1.0,2490,10.0,10 ppm:2490   1 ppm:7767,76.7,2,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
23,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,4,7767,1.0,8105,10.0,10 ppm:8105   1 ppm:7767,69.4,1,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
24,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,5,7767,1.0,8105:2537A,10.0,10 ppm:8105:2537A   1 ppm:7767,92.5,3,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
25,May 2022 Phase G(D),,,May 2022 Phase G(D)_4,6,7767,1.0,1580,10.0,10 ppm:1580   1 ppm:7767,112.0,4,346.0,69.4,276.6,lots of FW in all Jar with good particle size.  Settling rates all very comparable. Lots of very fine particles in all jars.,
26,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,281.0,6,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
27,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,2,7757,1.0,2537A,10.0,10 ppm:2537A   1 ppm:7757,232.0,5,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
28,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,3,7757,1.0,2490,10.0,10 ppm:2490   1 ppm:7757,166.0,2,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
29,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,4,7757,1.0,8105,10.0,10 ppm:8105   1 ppm:7757,224.0,4,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
30,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,5,7757,1.0,8105:2537A,20.0,20 ppm:8105:2537A   1 ppm:7757,67.8,1,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
31,May 2022 Phase G(D),,,May 2022 Phase G(D)_5,6,7757,1.0,1580,10.0,10 ppm:1580   1 ppm:7757,185.0,3,281.0,67.8,213.2,very poor floc size and poor settling rates.  J5 was the fastest.,
2,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,651.0,6,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.0
3,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,2,8181,1.0,2537A,15.0,15 ppm:2537A   1 ppm:8181,260.0,1,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.6006144393241167
4,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,3,3058,1.0,2537A,15.0,15 ppm:2537A   1 ppm:3058,549.0,4,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.15668202764976957
5,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,4,8181,1.0,18114,15.0,15 ppm:18114   1 ppm:8181,557.0,5,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.1443932411674347
6,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,5,8181,1.0,8190,15.0,15 ppm:8190   1 ppm:8181,408.0,3,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.37327188940092165
7,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_1,6,8181,1.0,1580,15.0,15 ppm:1580   1 ppm:8181,290.0,2,651.0,260.0,391.0,J3 larger particle during stir & more FW.  Settling rates are all very similar.  Let settle for 5 mins.  The water clarity in J3 was terrible.,0.554531490015361
8,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,847.0,6,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.0
9,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,2,8181,1.0,1580,15.0,15 ppm:1580   1 ppm:8181,310.0,5,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.6340023612750886
10,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,3,8181,1.0,1580,20.0,20 ppm:1580   1 ppm:8181,186.0,3,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.7804014167650531
11,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,4,8181,1.0,1580,25.0,25 ppm:1580   1 ppm:8181,96.7,1,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.885832349468713
12,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,5,8181,1.0,1580,30.0,30 ppm:1580   1 ppm:8181,121.0,2,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.8571428571428571
13,July 2022(D),2022-07-19,"standard 200 rpm & 100 rpm, 5 min settling",July 2022(D)_2,6,3058,1.0,1580,30.0,30 ppm:1580   1 ppm:3058,206.0,4,847.0,96.7,750.3,J6 looks the best with high clarity and lots of FW during stir.  All jars have same particle size.  J 6 settled the fastest and the other jars were about the same.,0.7567886658795749
14,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,765.0,6,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.0
15,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,2,8181,1.0,2537A,15.0,15 ppm:2537A   1 ppm:8181,246.0,4,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.6784313725490196
16,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,3,3058,1.0,2537A,15.0,15 ppm:2537A   1 ppm:3058,290.0,5,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.6209150326797386
17,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,4,8181,1.0,18114,15.0,15 ppm:18114   1 ppm:8181,197.0,2,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.742483660130719
18,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,5,8181,1.0,8190,15.0,15 ppm:8190   1 ppm:8181,243.0,3,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.6823529411764706
19,July 2022(D),2022-07-20,slurry method - 200 & 100 rpm,July 2022(D)_3,6,8181,1.0,1580,15.0,15 ppm:1580   1 ppm:8181,108.0,1,765.0,108.0,657.0,No partciles with coag addition.  J3 shows best flocs and it settles faster but the water clarity is not great.  The other jars all settled about the same rate.,0.8588235294117647
20,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,776.0,6,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.0
21,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,2,8181,1.0,1580,15.0,15 ppm:1580   1 ppm:8181,260.0,5,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.6649484536082474
22,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,3,8181,1.0,1580,20.0,20 ppm:1580   1 ppm:8181,163.0,4,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.7899484536082474
23,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,4,8181,1.0,1580,25.0,25 ppm:1580   1 ppm:8181,143.0,3,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.8157216494845361
24,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,5,8181,1.0,1580,30.0,30 ppm:1580   1 ppm:8181,97.6,1,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.8742268041237113
25,July 2022(D),2022-07-20,slurry method,July 2022(D)_4,6,3058,1.0,1580,30.0,30 ppm:1580   1 ppm:3058,127.0,2,776.0,97.6,678.4,all jars with coag didn't give any initial particle formation.  The addition of floc showed good growth and J6 had the best size.  Lots of FW during the stir period for J6.  J6 showed fastest settling rate.  Next J2 through J5 so the increase in coag actually decreased the settling rate with 1580.,0.836340206185567
26,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,525.0,6,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.0
27,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,2,8181,1.0,2537A,15.0,15 ppm:2537A   1 ppm:8181,124.0,5,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.7638095238095238
28,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,3,8181,1.0,2537A,20.0,20 ppm:2537A   1 ppm:8181,105.0,4,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.8
29,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,4,8181,1.0,2537A,25.0,25 ppm:2537A   1 ppm:8181,95.5,2,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.8180952380952381
30,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,5,8181,1.0,2537A,30.0,30 ppm:2537A   1 ppm:8181,72.1,1,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.8626666666666666
31,July 2022(D),2022-07-20,slurry method,July 2022(D)_5,6,3058,1.0,2537A,30.0,30 ppm:2537A   1 ppm:3058,104.0,3,525.0,72.1,452.9,very similar observations as exp 4.  CXP3058 gives a better particle size than 8181  but water clarity doesn't finish as well. Less pin floc with 2537A vs 1580.,0.8019047619047619
32,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,545.0,6,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.0
33,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,2,8181,1.0,18114,15.0,15 ppm:18114   1 ppm:8181,174.0,5,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.6807339449541284
34,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,3,8181,1.0,18114,20.0,20 ppm:18114   1 ppm:8181,92.2,4,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.8308256880733945
35,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,4,8181,1.0,18114,25.0,25 ppm:18114   1 ppm:8181,81.2,3,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.8510091743119266
36,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,5,8181,1.0,18114,30.0,30 ppm:18114   1 ppm:8181,70.6,2,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.8704587155963303
37,July 2022(D),2022-07-20,slurry method,July 2022(D)_6,6,3058,1.0,18114,30.0,30 ppm:18114   1 ppm:3058,60.5,1,545.0,60.5,484.5,addition of 18114 did give a cloudier mixture than previous coags and it increase with more coag.  Particle size was biggest with cxp3058.  settling rate J6>J2>j3>j4>j5,0.8889908256880734
38,July 2022(D),2022-07-20,slurry method,July 2022(D)_7,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,472.0,6,472.0,60.1,411.9,there is an increase in FW as dosage increase.  Not much of a noticeable change in floc size. J6>j5>j4>j3>j2>j1 for settling rates,0.0
